id,Ref,Project Name,Scheme Name,Funding Amount,Funding Amount in USD
437,H2_459,Hyflexpower,EU’s Horizon 2020 Framework Programme for Research and Innovation,EUR 10.5MM,13186033.0
438,H2_170,HYLINK Totara,KiwiNet,,
439,H2_1288,Hyperion H2 Alandroal,PO SEUR scheme,EUR 5MM,6294000.0
440,H2_1289,Hyperion H2 Setúbal,PO SEUR scheme,EUR 5MM,6294000.0
441,H2_995,Hyphen Hydrogen Energy - phase II,SDG Namibia One,,
442,H2_273,IPCEI Blue Danube,Important Projects of European Common Interest (IPCEI),,
443,H2_871,IPCEI Blue Danube - first project,European Commission’s Important Projects of Common European Interest (IPCEIs) initiative,,
444,H2_369,Jupiter 1000,ADEME,,
445,H2_369,Jupiter 1000,ERDF,,
446,H2_796,Khalifa Industrial Zone Abu Dhabi (KIZAD) - phase 1,Abu Dhabi government,,
447,H2_596,KOGAN HYDROGEN DEMONSTRATION PROJECT,Queensland Renewable Energy and Hydrogen Jobs Fund,AUD 28.9MM,18640500.0
448,H2_749,Kokkola H2 plant,Nordic Hydrogen Route Bothnian Bay project,,
449,H2_845,Lhyfe offshore electrolyser,Clean Hydrogen Partnership,,
450,H2_1297,"LSB Industries - Pryor green ammonia project, Phase 1",Federal production and investment tax credits,,
451,H2_1297,"LSB Industries - Pryor green ammonia project, Phase 1",Potential tax credits for both production & investment,,
452,H2_1327,Masshylia,"European authorities (IPCEI, Innovation Fund)",,
453,H2_1327,Masshylia,French (AMI) subsidies,,
454,H2_394,MCRC bio-hydrogen facility Chennai,DNES - Department of Non-conventional Energy Sources,,
455,H2_394,MCRC bio-hydrogen facility Chennai,Hydrogen Energy Centre,,
456,H2_912,Melbourne Hydrogen Hub,Australian Renewable Energy Agency,AUD 22.8MM,14706000.0
457,H2_912,Melbourne Hydrogen Hub,Victoria's Renewable Hydrogen Commercialization Pathways Fund,AUD 1000K,645000.0
458,H2_835,METH2 Atacama,GCF,,
459,H2_80,Methanation at Eichhof,STORE&GO research project,,
460,H2_1399,"MoU Shell - Acu Port, phase 1",Brazil's oil regulator's requirement for research and development projects,,
461,H2_328,MYRTE,"Curtiss Wright Hanger, Columbia SC Public Property Use",,
462,H2_328,MYRTE,DRC Loan Pool,USD 10MM,10000000.0
463,H2_328,MYRTE,Historic Tax Credits,,
464,H2_328,MYRTE,South Bay Inn & Suites Tax Credits,,
465,H2_659,"Nauticol Blue Methanol facility in Grande Prairie, Alberta",Alberta Petrochemicals Incentive Program (APIP),,
466,H2_106,"Naval Facilities Engineering Command, Engineering and Expeditionary Warfare Center",Operational Energy Capability Improvement Fund,,
467,H2_1269,"NeptHyne, phase 1",Clean H2 Infra Fund,,
468,H2_1270,"NeptHyne, phase 2",Clean H2 Infra Fund,,
469,H2_625,New Jersey Resources Howell,Employee giving and gift-matching program,,
470,H2_625,New Jersey Resources Howell,Home Ownership Program,,
471,H2_625,New Jersey Resources Howell,VISION program,,
472,H2_232,NEXPEL (R&D),European Community's Seventh Framework Programme (FP7/2007-2013),,
473,H2_13,Norsk e-Fuel Phase 2,Innovation Norway grant,NOK 1.5MM,140768.0
474,H2_13,Norsk e-Fuel Phase 2,Project Development Assistance,,
475,H2_13,Norsk e-Fuel Phase 2,SkatteFUNN tax incentive scheme,NOK 9.5MM,891533.0
476,H2_541,"North CCU HUB, phase 2. North-C -full scale",Flanders Innovation Industry Moonshot,EUR 400MM,503520000.0
477,H2_263,Northern Irish hydrogen project,Department for the Economy (DfE),GBP 5MM,5386500.0
478,H2_263,Northern Irish hydrogen project,UK Net Zero Hydrogen Fund,,
479,H2_464,Olive Creek 2,Title XVII Innovative Energy Loan Guarantee Program,,
480,H2_340,OptFuel (R&D),Highway 1 Corridor Investment Program,,
481,H2_340,OptFuel (R&D),Measure D Taxpayer Oversight Committee Funding,,
482,H2_340,OptFuel (R&D),SB1: Rebuilding California Funding,,
483,H2_533,Orange-BAT Puerto Valencia,The Valencian Government's Green H2 Strategy,,
484,H2_544,Origin Energy Tasmania’s Bell Bay,Tasmanian Renewable Hydrogen Development Fund,USD 16MM,16000000.0
485,H2_131,"Oslo, CHIC",Innovation Norway,,
486,H2_131,"Oslo, CHIC",The Norwegian Consulate in New York,,
487,H2_131,"Oslo, CHIC",The Oslo Region Alliance,,
488,H2_88,Oxelösund Forklifts,Swedish Energy Agency,,
489,H2_130,P2G plant Erdgas Schwaben,"Hessian Ministry for the Environment, Energy, Agriculture and Consumer Protection",,
490,H2_388,P2P IPKW,Feed-in Tariff PPAs,,
491,H2_388,P2P IPKW,Solar PV Operations & Maintenance,,
492,H2_388,P2P IPKW,Virtual Power Plant (VPP),,
562,H2_648,Zenid Initiative,Norway SAF blending mandate,,
493,H2_1451,"P2X Europe - Nordic Electrofuel Porsgrunn project, phase 1",EUR 40 million Grant from EU,EUR 40MM,50352000.0
494,H2_351,Pilot & Demo PtM HSR,Horizon 2020,,
495,H2_1167,Port of South Louisiana,2022 Port Infrastructure Development Program (PIDP) Transportation Discretionary Grants,,
496,H2_325,"PostBus Hydrogen bus, Brugg, aargau CHIC",Canton Aargau,CHF 1.5MM,1685393.0
497,H2_810,Prairie Island,Minnesota Legislature appropriation,USD 46.2MM,46200000.0
498,H2_217,Primolyzer (R&D),FP7-JTI - Specific Programme Cooperation: Joint Technology Initiatives,,
499,H2_217,Primolyzer (R&D),SP1-JTI-FCH-2.1 - Efficient PEM electrolysers,,
500,H2_217,Primolyzer (R&D),SP1-JTI-FCH-3,,
501,H2_274,Project GERI,ARENA funding,AUD 1.7MM,1102950.0
502,H2_570,"Project Haber, phase 1","Lead Agency Status by the Western Australian Department of Jobs, Tourism, Science and Innovation",,
503,H2_570,"Project Haber, phase 1",Major Project Status by the Federal Government,,
504,H2_371,PVFCSYS Sophia Antipolis,"Programme for research, technological development and demonstration on 'Energy, environment and sustainable development, 1998-2002",EUR 1.1MM,1370364.0
505,H2_46,Quebec Great Toronto Area East,Quebec government,USD 350MM,350000000.0
506,H2_421,Queensland Government HRS,Queensland Government's $2 billion Renewable Energy and Hydrogen Jobs Fund,USD 28.9MM,28900000.0
507,H2_421,Queensland Government HRS,Queensland Government's Hydrogen Industry Development Fund,USD 5MM,5000000.0
508,H2_247,RABH2,UK Technology Strategy Board,,
509,H2_493,Referenzkraftwerk Lausitz,Reallabore der Energiewende,,
510,H2_354,"RegEnKibo, Kirchheimbolanden (R&D)",BMBF,,
511,H2_198,"REMOTE - Spain, Canary Island",Canary Islands Tourism Organization,EUR 2MM,2517600.0
512,H2_321,RESelyser (R&D),Specific Programme Cooperation: Joint Technology Initiatives,EUR 2.9MM,3636620.0
513,H2_1371,ScottishPower - Felixtowe Port,UK government’s Net Zero Hydrogen Fund,GBP 240MM,258552000.0
514,H2_1103,Secunda SAF Project - Phase I,German government’s H2Global auction platform,,
515,H2_1104,Secunda SAF Project - Phase II,H2Global,EUR 900MM,1132920000.0
516,H2_1104,Secunda SAF Project - Phase II,HySHiFT,EUR 15MM,18882000.0
517,H2_63,Semakau island microgrid Engie (SPORE),REIDS (Renewable Energy Integration Demonstrator),,
518,H2_806,Sirea - Castres site,national strategy to accelerate the development of low-carbon hydrogen,EUR 2B,2517600000.0
519,H2_383,Small Scale Renewable Power System DRI (Desert Research Institute),Attorney General's Office,,
520,H2_383,Small Scale Renewable Power System DRI (Desert Research Institute),NV Energy Solar Generations Program,,
521,H2_383,Small Scale Renewable Power System DRI (Desert Research Institute),State Public Works Board,,
522,H2_701,"Solar Global group headquarters, phase 2",European Investment Bank,,
523,H2_701,"Solar Global group headquarters, phase 2",Finland-IFC Blended Finance for Climate Program,,
524,H2_701,"Solar Global group headquarters, phase 2",Government of the Netherlands,,
525,H2_701,"Solar Global group headquarters, phase 2",IFC,EUR 38MM,47834400.0
526,H2_701,"Solar Global group headquarters, phase 2",Multilateral Investment Guarantee Agency (MIGA),EUR 6.9MM,8685720.0
527,H2_701,"Solar Global group headquarters, phase 2",Proparco,,
528,H2_701,"Solar Global group headquarters, phase 2",Scaling Solar program,,
529,H2_701,"Solar Global group headquarters, phase 2",The Infrastructure Development Collaboration Partnership Fund (DevCo),,
530,H2_701,"Solar Global group headquarters, phase 2",The Rockefeller Foundation,,
531,H2_701,"Solar Global group headquarters, phase 2",USAID's Power Africa,,
532,H2_934,Sonam Nurboo Memorial Hopsital,PMJAY (Pradhan Mantri Jan Arogya Yojana),,
533,H2_1273,South Australia renewable hydrogen hub,AGIG's Hydrogen Park South Australia (HyP SA),USD 14.5MM,14500000.0
534,H2_1273,South Australia renewable hydrogen hub,Establishment of a Hydrogen Hub at Port Bonython,,
535,H2_1273,South Australia renewable hydrogen hub,Hydrogen Jobs Plan,,
536,H2_1273,South Australia renewable hydrogen hub,Hydrogen Utility™ (H2U)'s Eyre Peninsula Gateway Project,,
537,H2_1273,South Australia renewable hydrogen hub,Trafigura Group Pte Ltd's Green Hydrogen Project with Nyrstar,,
538,H2_52,Stromlückenfüller 2nd phase,Canada’s federal hydrogen subsidies,,
539,H2_574,Sumitomo Queensland,Australian Renewable Energy Agency,AUD 32.1MM,20704500.0
540,H2_723,Sun2Hy,ETS Innovation Fund,,
541,H2_949,SunHy,Bipartisan Infrastructure Law,USD 10MM,10000000.0
542,H2_1057,Sweetman Hunter Valley,NSW Government,USD 70MM,70000000.0
543,H2_914,Swinburne University of Technology Victorian Hydrogen Hub – CSIRO Hydrogen Refuelling Station,Victorian Hydrogen Hub (VH2) initiative,AUD 1000K,645000.0
544,H2_121,SYNFUEL,SFC loan guarantee,USD 341MM,341000000.0
545,H2_1397,Tambor Green Hydrogen Hub project,H2Global program,,
546,H2_549,Taranto Sustainable Refinery,CIPE Resolution no. 121 of 21/12/2001,,
547,H2_600,"Uniper Maasvlakte, phase II",IPCEI program,,
548,H2_639,Unknown ITM peoject,European Fund for Strategic Investments (EFSI),EUR 40MM,50352000.0
549,H2_639,Unknown ITM peoject,Investment Plan for Europe,,
550,H2_1258,Vätgas Ljungby,African Hydrogen Partnership,,
551,H2_1258,Vätgas Ljungby,H2 Atlas-Africa Project (2020-2022),,
552,H2_1372,"Verbund - Burgenland Energie, phase 1",Fuel Cells and Hydrogen Joint Undertaking (FCH JU),,
553,H2_732,vHyGO -4th facility in St Nazaire,ADIME - hydrogen territorial ecosystem project call,,
554,H2_733,vHyGO -5th facility in Dieppe,ADEME - hydrogen territorial ecosystem project call,,
555,H2_977,Vlissingen - VoltH2 - phase II,SDE++ subsidy,,
556,H2_557,Wallonia e-methane project,Recovery and Resilience Facility,EUR 50MM,62940000.0
557,H2_1314,Wenger Engineering Bremerhaven,European Regional Development Fund (ERDF),EUR 16MM,20140800.0
558,H2_1314,Wenger Engineering Bremerhaven,State of Bremen,EUR 16MM,20140800.0
559,H2_932,Yarwun alumina refinery,Australian Renewable Energy Agency (ARENA) grant,USD 32MM,32000000.0
560,H2_648,Zenid Initiative,France road map,,
561,H2_648,Zenid Initiative,Germany draft law,,
563,H2_648,Zenid Initiative,Sweden mandate,,
564,H2_648,Zenid Initiative,UK government funding,GBP 500MM,538650000.0
