id,Policy Name,Country,Year,Status,Jurisdiction,Topics,Policy Types,Sectors,Technologies,Description,Total Budget,Total Budget in USD,Governing Body,Target Project,Target Capacity,Beneficiary,Target Year,Period,Emission Goal
10,EUR 8.5 million for purchase of zero emissions vehicles and e-bikes,Estonia,2023,In force,National,Electrification,Grants,Passenger transport (Road),"Road vehicles, Battery electric","In February 2023, the Environmental Investment Centre (KIK) - managed by the Estonian Ministry of Environment - launched a call for grant applications for the purchase of zero emissions vehicles. The grant is awarded to individuals and companies for the purchase of electric and hydrogen vehicles and electric cargo bikes purchased as of 6 February 2023. The amount of support per car is EUR 4,000 for companies and EUR 5,000 for individuals, and EUR 1,000 per cargo bike for companies and EUR 1,250 for individuals. The subsidies are provided using the proceeds from the trading scheme for greenhouse gas emission allowances.",EUR 8.5 million,10699800.0,Environmental Investment Centre (KIK) - managed by the Estonian Ministry of Environment,Purchase of zero emissions vehicles,"Electric cargo bikes (cargo bike): EUR 1,000 for companies and EUR 1,250 for individuals
",Individuals and companies,,,
11,Support for green hydrogen in transport and chemical industry,Estonia,2023,In force,National,Renewable Energy,Domestic manufacturing incentive,Hydrogen production and supply,Hydrogen,"The Estonian Ministry of Economy will allocate up to EUR 49.1 million in subsidies to invest in the creation of green hydrogen value chains - from production to consumption in the transport sector or chemical industry.  The support is open to companies registered in Estonia, which can draw up to EUR 20 million and is administered by the Center for Environmental Investments (KIK).",EUR 49.1 million,61807080.0,The Estonian Ministry of Economy,Support for green hydrogen in transport and chemical industry,"Green hydrogen consumption in chemical industry
",Companies registered in Estonia,2023,,
12,Jordan-Norway MoU on  on Green Hydrogen and Renewables,Jordan,2022,Announced,National,Renewable Energy,Technology roadmaps,,Hydrogen,"The Ministry of Energy and Mineral Resources of Jordan announced a new framework of cooperation with Norway to reinforce bilateral cooperation in the key sectors of green hydrogen, renewable energy and oil and gas exploration.",,,Ministry of Energy and Mineral Resources of Jordan,,,,,,
13,National Strategy for an Orderly Transition to Net Zero,Oman,2022,Announced,National,Renewable Energy,"Targets, plans and framework legislation",Economy-wide (Multi-sector),"Direct air capture (DAC), CO2 Capture, Battery technologies, Hydrogen","In 2022, the Sultanate of Oman launched its green transition pathway to achieve carbon neutrality by 2050. The strategic goals of the roadmap include environmental sustainability, energy system costs, economic impact, social impact and security of supply by 2050, with the ambition of reaching energy self-sufficiency for both power and hydrogen. To reach net zero and minimize its cumulative carbon budget, Oman relies on several decarbonizing technologies that support an orderly transition: electrification and renewables, battery electric technology, sustainable hydrogen, energy efficiency, carbon capture and storage and negative-emission solutions. The national strategy also aims at reducing energy costs for Omani citizens and businesses while also unlocking its hydrogen export economy.",,,,,,,2050,01 Nov 2022 - 31 Dec 2050,
14,Infrastructure and Jobs act: Clean hydrogen initiatives,United States,2022,In force,National,"Technology R&D and innovation, Renewable Energy","Payments, finance and taxation, Operational funding for institutions, Major infrastructure plan","Industry, Power generation, Hydrogen production and supply",Hydrogen electrolysis technologies,"As part of the U.S. Infrastructure Investment and Jobs Act, the U.S. Department of Energy (DoE) established clean hydrogen initiatives to accelerate domestic production, deployment, and use of clean hydrogen. The allocation of USD 9.5 billion will fund Regional Clean Hydrogen Hubs, Clean Hydrogen Electrolysis Program, and Clean Hydrogen Manufacturing and Recycling Programs. 

USD 8 billion is being provided to develop at least four Regional Clean Hydrogen Hubs with the aim of creating jobs and expanding the use of clean hydrogen in the industrial sector;

USD 1 billion is allocated for the Clean Hydrogen Electrolysis Program intended to reduce the cost of hydrogen produced from clean electricity; and

USD 500 million will fund Clean Hydrogen Manufacturing and Recycling Initiatives to support domestic clean hydrogen supply chains.  

On 15th February 2022, the DoE announced two Requests for Information (RFI) to collect feedback from stakeholders to inform them of the implementation and design of the Hubs and Programs.",$9.5 billion,9500000000.0,U.S. Department of Energy (DoE),"Regional Clean Hydrogen Hubs, Clean Hydrogen Electrolysis Program, Clean Hydrogen Manufacturing and Recycling Programs","Clean Hydrogen Manufacturing and Recycling Initiatives: $500 million
",Industrial sector and domestic clean hydrogen supply chains,,,
15,RePowerEU Plan:  Joint European action on gas supply security,European Union,2022,In force,International,Energy Security,"Strategic plans, Use / activity restrictions, Public procurement, Targets, Safety standards, Prescriptive requirements and standards, Targets, plans and framework legislation, Major infrastructure plan, Industrial clusters, Technology roadmaps, Climate change strategies, Prohibition, Finance, Energy trading regulations, Market design rules, Energy storage","Industry, Economy-wide (Multi-sector), Natural gas processing, Hydrogen production, LNG transportation, Regasification, Pipeline transportation, Storage","Biomass/biogas boilers, Biogas, Biomass/biogas boilers (domestic), Hydrogen refuelling stations, Hydrogen, Hydrogen electrolysis technologies, LNG Vessels","The REPowerEU Plan aims to fast forward clean energy transition of the European Union and make Europe independent from Russian fossil fuels well before 2030. Measures related to gas supply security include:

Common purchases of non-Russian gas, LNG and hydrogen via the EU Energy Platform for all Member States who want to participate as well as Ukraine, Moldova, Georgia and the Western Balkans

Diversification through new partnerships with reliable suppliers, including future cooperation on renewables and low-emission gases

A legislative proposal on minimum gas storage, with an 80% filling target by 1 November 2022 and to 90% ahead of all following winter periods 

Support to coordinated gas refilling operations, for example through joint procurement, collecting orders and matching supplies

Optimize and make more transparent use of the import, storage and transmission gas infrastructure

Diversifying gas supplies and working with international partners to move away from Russian gas, import more LNG and invest in the necessary infrastructure

 EU-coordinated demand reduction plans in case of gas supply disruption 

A Hydrogen Accelerator to build 17.5 GW by 2025 of electrolysers to fuel EU industry with homegrown production of 10Mt of renewable hydrogen, and an additional 10 Mt of renewable hydrogen imports by 2030, along with the necessary infrastructure, storage facilities and ports

The development of a modern regulatory framework for hydrogen

Doubling the EU ambition for biomethane to produce 35 bcm per year by 2030, in particular from agricultural waste and residues",€300 billion,377640000000.0,European Commission,Gas diversification and infrastructure development,"Minimum gas storage: 80% filling target by 1 November 2022 and 90% ahead of all following winter periods (2022 and following winter periods)
","EU industry, including hydrogen, chemicals, biotech, and nanotech",2030,From present onwards,
199,Australia and Japan cooperation agreement on hydrogen and fuel cells,Japan,2020,In force,International,,International collaboration,"Economy-wide (Multi-sector), Hydrogen production and supply","Fuel cells, CO2 capture and transport technologies, Fuel transformation, transportation and above-ground storage technologies, Gasification, Hydrogen, Hydrogen electrolysis technologies, Methane pyrolysis, Methane reformation (incl. SMR, ATR, POx), Other fuel transport vessels, Synthetic fuel production",The joint statement highlights the commitment already in place between the two countries and recognize the importance of cooperation on the deployment of an international hydrogen supply chain.,,,,,,,,,
16,RePowerEU Plan : Joint European action on renewable energy and energy efficiency,European Union,2022,In force,International,"Energy Efficiency, Renewable Energy","Use / activity restrictions, Targets, plans and framework legislation, Industrial clusters, Technology roadmaps, Prohibition, Finance, Energy market regulation, Tariff design","Industry, Power, Heat and Utilities, Power generation, Combined heat and power, Heat and steam distribution (incl. district heating), Heat generation, Heating and Cooling","Solar PV, Heat pumps, Hydrogen","The REPowerEU Plan proposed by the European Commission aims at rapidly decreasing the European Union's dependency on Russian fossil fuels.Measures related to renewable energy and energy efficiency include:

Increasing EU’s 2030 target to 45% renewables in the EU mix, up from the current target of 40% (an additional 169GW to the Fitfor55 2030 target of 1067 GW)

Accelerating the rollout of PV energy, with a dedicated EU Solar Energy Strategy, aiming to deploy over 320 GW of new solar photovoltaic by 2025, and almost 600 GW by 2030

Introducing the European Solar Rooftop Initiative, which is anchored around a legally binding EU solar rooftop obligation for certain categories of buildings

Aiming at doubling the current deployment rate of individual heat pumps, to reach 10 million cumulative units over 2023-2027

Decarbonising the industry by accelerating the switch to electrification and renewable hydrogen and enhancing our low-carbon manufacturing capabilities

Speeding up renewables' permit to minimize the time for the roll-out of renewable projects and grid infrastructure improvements, through the revising of the Renewable Energy Directive proposal which will designate renewable energy as an overriding public interest and introduce the designation of 'go-to' areas

Increasing the EU’s 2030 binding energy savings target to 13% (up from 9% in the Energy Efficiency Directive)

In May 2022, the EU Commission launched calls for clean energy infrastructure projects to support the REPowerEU Plan, worth EUR 800 million, with an emphasis on cross-border EU energy infrastructure projects, under the Connecting Europe Facility (CEF) for Energy. The call is open to projects under the list of Projects of Common Interest, published in November 2021. ",EUR 800 million,1007040000.0,European Commission,Clean energy infrastructure projects,"Renewable energy
",Cross-border EU energy infrastructure projects,,,
17,France 2030 Investment Plan,France,2022,In force,National,"Air Quality, Electrification, Renewable Energy","Strategic plans, Payments, finance and taxation, Payments and transfers, Targets, plans and framework legislation, Technology roadmaps, Climate change strategies, Grants, Domestic manufacturing incentive","Industry, Transport, Power, Heat and Utilities, Economy-wide (Multi-sector)","Road vehicles, Aircraft, Battery electric, Hybrid, Industry sector-specific processes and technologies, Transport technologies, Nuclear, Electricity generation and CHP technologies, Hydrogen electrolysis technologies, Small modular reactors","France 2030 is a national investment plan endowed with EUR 34 billion, which includes EUR 30 billion in subsidies and EUR 4 billion in funding schemes to be deployed over 5 years. EUR 3.5 billion are allocated for the year 2022, of which EUR 2.84 billion in grants and EUR 0.66 billion in equity investments. The budget provisions were voted by the French National Assembly. 

France 2030 is composed of 10 objectives, including:

EUR 8 billion allocated to the energy sector to develop small nuclear reactors (€1 billion), develop green hydrogen projects (€1.9 billion), and to decarbonise the industry (€5.6 billion)

EUR 4 billion allocated to the transport sector to produce nearly two million electric and hybrid vehicles (€2.5 billion) and low-carbon airplanes (€1.2 billion).

On 10 February 2022, additional provisions unveiled: 

The construction of six new nuclear reactors EPR 2, accounting for 25 GW. The duration of the reactors has been extended to over 50 years

Investments in renewable energies worth EUR 1 billion. The renewable power installed capacity will increase ten times by 2050, up to 100 GW. 40 GW will come from offshore wind farms

Cutting energy consumption by 40% through building renovation.",EUR 34 billion,42799200000.0,French National Assembly,"10 objectives, including development of small nuclear reactors, green hydrogen projects, decarbonization of the industry, production of electric and hybrid vehicles, and low-carbon airplanes.","Production of low-carbon airplanes: EUR 1.2 billion
","Energy sector, transport sector, and related industries",2030,5 years,
18,France 2030 Investment Plan- Heavy industry decarbonisation investment,France,2022,In force,National,"Energy Efficiency, Electrification",Grants,"Industry, Iron and steel, Chemical and petrochemicals, Non-metallic minerals, Non-ferrous metals, Aluminium",,"As part of the France 2030 national investment plan, the French government will invest EUR 5.6 billion to reduce the CO2 emissions of domestic heavy industries, such as the steel, cement and aluminium sectors.This includes: 

EUR 610 million for innovation and clean technology deployment for industries

EUR 5 billion for direct support of decarbonization solutions for industrial sites, notably hydrogen or carbon capture. ",EUR 5.6 billion,7049280000.0,French government,"decarbonisation of domestic heavy industries (steel, cement, and aluminium sectors)","direct support of decarbonization solutions for industrial sites (hydrogen or carbon capture): EUR 5 billion
","domestic heavy industries (steel, cement, and aluminium sectors)",2030,,
19,Hydrogen BECCS Innovation Programme,United Kingdom,2022,In force,National,Technology R&D and innovation,"Payments, finance and taxation, Grants",Hydrogen production,"Biomass gasification (incl. waste), CO2 capture and transport technologies","The Hydrogen BECCS Innovation Programme supports technologies which can produce hydrogen from biogenic feedstocks and be combined with carbon capture. It forms part of the GBP 1 billion Net Zero Innovation Portfolio, which aims to accelerate the commercialisation of innovative clean energy technologies and processes through the 2020s and 2030s. The programme is in 2 phases: Phase 1 (GBP 5 million) supports multiple projects to scope and develop a feasible prototype demonstration project. In August 2022, 22 projects were selected under Phase 1. Phase 2 (GBP 25 million) takes projects from innovation design through to innovation demonstration.",GBP 30 million,32319000.0,,Feasible prototype demonstration project,,Technologies that can produce hydrogen from biogenic feedstocks and be combined with carbon capture,,2020s and 2030s,
20,Green transition investment projects,Finland,2022,In force,National,"Carbon Capture Utilisation and Storage, Electrification, Renewable Energy","Payments, finance and taxation, Funds to sub-national governments, Payments and transfers",Economy-wide (Multi-sector),,"The Ministry of Environment created in 2022 a grant programme for municipalities aiming at developing green transition investment projects, in the context of Finland's Net-Zero target. The grants are available for renewable development, low carbon hydrogen, carbon capture and storage, electrification and recycling. The initial scheme already granted: 

EUR 435,400 in 2022 through the EU recovery plan to 5 municipalities;

EUR 1.5 million in February 2023 to 18 municipalities.

The government extended this scheme in March 2023 with additional EUR 2.6 million.",,,The Ministry of Environment,,,Municipalities,,,
21,"DKK 45.9 million to develop green refuelling and charging infrastructure for taxis, trucks and buses",Denmark,2022,In force,National,"Electrification, Renewable Energy","Payments, finance and taxation, Payments and transfers, Grants","Transport, Road transport",Road vehicles,"The Green Business Transport Fund in Denmark allocated DKK 45.9 million to 49 projects to help decarbonize the commercial transport sector. The funds will notably help deploy charging infrastructure for taxis and trucks, as well as biogas and hydrogen projects.",DKK 45.9 million,6636976.199,The Green Business Transport Fund in Denmark,"deploy charging infrastructure for taxis and trucks, as well as biogas and hydrogen projects","hydrogen projects
",the commercial transport sector,,,
22,EUR 148 million for green hydrogen projects,Romania,2022,In force,National,,Grants,Hydrogen production,Hydrogen,"The Romanian Ministry of Energy launched a state aid scheme with a total budget of EUR 148 million providing grants for the investment in renewable hydrogen production capacities. Eligible beneficiaries - natural gas producers, companies producing electricity, companies producing or consuming hydrogen and territorial units - can draw up to EUR 50 million under the scheme.",EUR 148 million,186302400.0,The Romanian Ministry of Energy,Investment in renewable hydrogen production capacities,"Renewable hydrogen production capacities: Up to EUR 50 million
","Natural gas producers, companies producing electricity, companies producing or consuming hydrogen, and territorial units",,,
23,+H2 Colombia,Colombia,2022,In force,National,,Grants,Hydrogen production and supply,Hydrogen,"The initiative, led by the Non-Conventional Energies and Efficient Energy Management Fund (FENOGE) and supported by the Ministry of Mines and Energy, is aligned with the National Hydrogen Roadmap. The initiative aims to finance pre-investment studies (pre-feasibility and feasibility) of projects along the entire supply chain of hydrogen, from production to distribution and use, both green and blue hydrogen. It consist of 4 phases: expression of interest; classification, analysis and prioritization of projects; publish of the results; start the pre-investment studies. The initial budget is USD 1 million.",USD 1 million,1000000.0,Non-Conventional Energies and Efficient Energy Management Fund (FENOGE) and Ministry of Mines and Energy,,,,,,
24,Inflation Reduction Act 2022: Sec. 50143 Domestic Manufacturing Conversion Grants,United States,2022,In force,National,,"Grants, Domestic manufacturing incentive",Manufacturing,Manufacuturing technologies and systems,"The U.S. Inflation Reduction Act of 2022 allocates USD 2 billion for grants to cover up to 50% of the cost of projects which contribute to increased domestic production of electric vehicles, including hybrids and hydrogen fuel cell electric vehicles. ","$2,000,000,000",2000000000.0,Department of Energy,"increased domestic production of electric vehicles, including hybrids and hydrogen fuel cell electric vehicles","electric vehicles
",domestic manufacturing capability across the supply chain,,To remain available through 9/30/2031,
25,Clean hydrogen for clean industry,Belgium,2022,In force,National,,Grants,"Hydrogen production, Hydrogen production and supply, Hydrogen transportation",,"Belgium's call for projects Clean hydrogen for clean industry aims to move forward on the hydrogen strategy, in the fields of production, transport and use of hydrogen. The total budget for this call is EUR 50 million, with maximum EUR 15 million per project, funded by the National Recovery and Resilience plan. Timeline of the call: closure of submission is on the 1st of June 2022, selected candidates announced in July and beginning of projects in autumn 2022.",EUR 50 million,62940000.0,National Recovery and Resilience plan,Clean hydrogen for clean industry,"Hydrogen production: Maximum EUR 15 million per project
",,,,
26,KfW Hydrogen funds,Germany,2022,Announced,National,,"Payments, finance and taxation, Loans / debt finance",Hydrogen production and supply,Hydrogen electrolysis technologies,"Germany announced two new funds to make EUR 550 million available to support establishing green hydrogen projects in developing and emerging countries. The development fund, under the responsibility of the Ministry of Economic Cooperation and Development (BMZ) and with EUR 250 million, is intended to help developing and emerging countries to build up their own local green hydrogen value chain. The growth fund, under the responsibility of the Ministry for Economic Affairs and Climate Action (BMWK) and with EUR 300 million, will support German or European companies to ramp-up the global hydrogen market. Both funds will be managed by the German development bank KfW, which already launched a platform where companies can apply for support.",EUR 550 million,692340000.0,German development bank KfW,establishing green hydrogen projects in developing and emerging countries,"ramp-up the global hydrogen market: EUR 300 million (not specified)
","developing and emerging countries, German or European companies",not specified,not specified,not specified
27,Green steel production support,Belgium,2022,Announced,National,,"Payments, finance and taxation, Grants","Industry, Iron and steel","Direct reduced iron (incl. hydrogen-based), Iron and steel",The Federal Government will allocate EUR 6 million from the Recovery and Transition plan for the development of green steel in Belgium. The grant is part of the Federal Hydrogen Strategy.,EUR 6 million,7552800.0,Federal Government,green steel production,,green steel industry,,,
28,Hydrogen Guarantee of Origin scheme,Netherlands,2022,In force,National,,Product certification,Hydrogen production and supply,Hydrogen,"After a trial period of the HyXchange exchange platform initiative, the renewable hydrogen guarantees of origin (GO) start to be issued from October 2022. The company Vertogas, a subsidiary of Gasunie that already provides Guarantees of Origin for biogas, was designated by the Minister to do the same for hydrogen, and has created a certification system. This system is currently valid only in the Netherlands, and the platform is supported by several companies among which Gasunie, the Port of Rotterdam and the Port of Amsterdam.",,,Minister (not specified),,,,,,
29,National Hydrogen Strategy,Singapore,2022,In force,National,,Strategic plans,Hydrogen production and supply,Hydrogen,"The Ministry of Trade and Industry published in October 2022 Singapore's National Hydrogen Strategy. The role of low-carbon hydrogen to achieve the transition toward net zero by 2050 is identified, with particular focus to the power sector, due to limited domestic resources, and to the shipping and aviation sectors, given the strategic position of the country. Uncertainties surrounding green hydrogen development are recognised, and the effort will be organised around five key points:- support pathfinder projects to advance technology innovation- invest in research and development - pursue international collaboration to enable low-carbon hydrogen supply chains- undertake long-term land and infrastructure planning- support workforce training",,,Ministry of Trade and Industry (Singapore),,,"Power sector, shipping sector, aviation sector",2050,,
100,Belgium-Oman MoU for Cooperation in Green Hydrogen,Belgium,2021,In force,International,Technology R&D and innovation,International collaboration,"Economy-wide (Multi-sector), Hydrogen production and supply",Hydrogen electrolysis technologies,"Belgium and Oman signed a Memorandum of Understanding (MoU) to promote and develop the green hydrogen projects, especially on the green Hydrogen Sultanate anchor project “Hyport Duqm” (the Sultanate’s strategic green hydrogen project in the Duqm Special Economic Zone). The project will build a 250 - 500 MW green hydrogen factory in the first phase aiming to start operation in 2026.

In addition, Belgium and Oman also agreed to work on the implementation of standards for green certification and the interaction between universities, scientific research institutes and the private sector of both countries.",,,,Hyport Duqm,"MW green hydrogen factory: 250 - 500 MW (2026)
",,,,
30,National Hydrogen Strategy,Singapore,2022,In force,National,,Strategic plans,Hydrogen production and supply,Hydrogen,"The Ministry of Trade and Industry published in October 2022 Singapore's National Hydrogen Strategy. The role of low-carbon hydrogen to achieve the transition toward net zero by 2050 is identified, with particular focus to the power sector, due to limited domestic resources, and to the shipping and aviation sectors, given the strategic position of the country. Uncertainties surrounding green hydrogen development are recognised, and the effort will be organised around five key points:- support pathfinder projects to advance technology innovation- invest in research and development - pursue international collaboration to enable low-carbon hydrogen supply chains- undertake long-term land and infrastructure planning- support workforce training",,,"Moroccan Ministry of Energy, Mines and Environment","GreenH2A, Natural Hydrogen, Morocco Hydrogen Cluster, German Moroccan Energy Partnership (PAREMA), Total Energies Project","Green hydrogen production capacity: 10 GW of clean electricity in the Guelmim-Oued Noun of Morocco starting 2027
","Various sectors including the local industry, residential heating, and transport",2050,"Short term (2020-2030), Medium term (2030-2040), Long term (2040-2050)",
31,National Hydrogen Strategy,Singapore,2022,In force,National,,Strategic plans,Hydrogen production and supply,Hydrogen,"The Ministry of Trade and Industry published in October 2022 Singapore's National Hydrogen Strategy. The role of low-carbon hydrogen to achieve the transition toward net zero by 2050 is identified, with particular focus to the power sector, due to limited domestic resources, and to the shipping and aviation sectors, given the strategic position of the country. Uncertainties surrounding green hydrogen development are recognised, and the effort will be organised around five key points:- support pathfinder projects to advance technology innovation- invest in research and development - pursue international collaboration to enable low-carbon hydrogen supply chains- undertake long-term land and infrastructure planning- support workforce training",,,,,,,,,
32,National Hydrogen Strategy,Singapore,2022,In force,National,,Strategic plans,Hydrogen production and supply,Hydrogen,"The Ministry of Trade and Industry published in October 2022 Singapore's National Hydrogen Strategy. The role of low-carbon hydrogen to achieve the transition toward net zero by 2050 is identified, with particular focus to the power sector, due to limited domestic resources, and to the shipping and aviation sectors, given the strategic position of the country. Uncertainties surrounding green hydrogen development are recognised, and the effort will be organised around five key points:- support pathfinder projects to advance technology innovation- invest in research and development - pursue international collaboration to enable low-carbon hydrogen supply chains- undertake long-term land and infrastructure planning- support workforce training",,,"The Clean Energy Finance Corporation (CEFC), the Australian Renewable Energy Agency (ARENA)","Hydrogen production, hydrogen supply chains (export and domestic), hydrogen export industry infrastructure, hydrogen hubs, building domestic demand for hydrogen","Domestic demand for hydrogen (2025)
",The Australian hydrogen industry,2025,First phase: Foundations and Demonstrations; Second phase: Large-scale Market Activation,
33,National Hydrogen Strategy,Singapore,2022,In force,National,,Strategic plans,Hydrogen production and supply,Hydrogen,"The Ministry of Trade and Industry published in October 2022 Singapore's National Hydrogen Strategy. The role of low-carbon hydrogen to achieve the transition toward net zero by 2050 is identified, with particular focus to the power sector, due to limited domestic resources, and to the shipping and aviation sectors, given the strategic position of the country. Uncertainties surrounding green hydrogen development are recognised, and the effort will be organised around five key points:- support pathfinder projects to advance technology innovation- invest in research and development - pursue international collaboration to enable low-carbon hydrogen supply chains- undertake long-term land and infrastructure planning- support workforce training",,,COAG Energy Council,,,,2030,,
